Long1,Lat1,Long2,Lat2,PlaceName,Length
40.823993354630566,16.559198593589215,40.823972,16.558930,Medico Scalera-Via Rodi 16,100
40.823595,16.558870,40.823972,16.558930,Via Federica 60,220
40.823275,16.561982,40.823336,16.561312,Viale Martiri 109,240
40.823336,16.561312,40.823398,16.560818,Viale Martiri 106,237  
40.823398,16.560818,40.823447,16.560357,Viale Martiri 104,210
40.823447,16.560357,40.823485,16.559855,Viale Martiri 103,185
40.823485,16.559855,40.823532,16.559420,Viale Martiri 102,204
40.823532,16.559420,40.823923,16.559495,Via Latina 6,200
40.823923,16.559495,40.823993354630566,16.559198593589215,Via Rodi 16,120
40.823532,16.559420,40.823595,16.558870,Viale Martiri 101/92,210
40.823595,16.558870,40.823618,16.558351,Viale Martiri 92/85,320
40.823618,16.558351,40.823702,16.557610,Viale Martiri 85/70,315
40.823702,16.557610,40.824418565750015,16.557627128769127,Via Monte Calvario 55A,147
40.824418565750015,16.557627128769127,40.824831,16.557713,Via Monte Calvario 53,47
40.824831,16.557713,40.825541,16.557326,Via Monte Calvario 38,180
40.825541,16.557326,40.825812,16.557376,Via Alessandria 28,20
40.825812,16.557376,40.825905,16.556446,Via Alessandria 28,138
40.823702,16.557610,40.823809,16.556546,Viale Martiri 46,400
40.823809,16.556546,40.823875,16.556065,Viale Martiri 39,190
40.823875,16.556065,40.824327,16.556179,Via Mantova 62,245
40.824327,16.556179,40.824387,16.555723,Via Mantova 48,185
40.824387,16.555723,40.824474,16.554647,Via Mantova 18,320
40.824474,16.554647,40.824502,16.554432,Medico Raguso-Via Mantova 10,150
40.824474,16.554647,40.824745,16.554683,Via Napoli 11,180
40.824745,16.554683,40.825082,16.554674,Via Verona 7,170
40.825082,16.554674,40.825387,16.554628,Corso Umberto I 45,180
40.825387,16.554628,40.8253526,16.5534954,Corso Umberto I 19A,165
40.8253526,16.5534954,40.825377,16.5533567,Corso Umberto I 1A,155
40.825377,16.5533567,40.8254303,16.5531702,Porta Matera,155
40.8254303,16.5531702,40.826025,16.552925,Vico Soccorso 140,220
40.826025, 16.552925,40.826446,16.552975,Arco F.Mari 5,260
40.826446, 16.552975,40.826851,16.553059,Corso Federico II 87,300
40.826851,16.553059,40.827449,16.553289,Piazza Duomo,400
40.827449,16.553289,40.827709,16.552644,Via Nicola Melodia 1,280
40.827709,16.552644,40.827870,16.552562,Via M.Giannelli 6,110
40.827870,16.552562,40.828380,16.552877,Piazza Municipio 20,210
40.828380,16.552877,40.828414,16.552987,Piazza Repubblica,45
40.828414,16.552987,40.8287438,16.5530865,Medico Denora-Piazza Municipio 5,200
40.828414,16.552987,40.828870,16.552733,Via Orazio Priore,390
40.828870,16.552733,40.829221,16.552957,Via Andrea Doria 2,200
40.829221,16.552957,40.829489,16.552954,Via Vittorio Veneto 7-13,120
40.829489,16.552954,40.829457,16.552785,Via Vittorio Veneto 5-7,25
40.829457,16.552785,40.829843,16.552720,Via Matteo Renato Imbriani,200
40.829843,16.552720,40.8297895,16.5524277,Medico Natuzzi-Caggiano-Via Giosue Carducci 30,70
40.829843,16.552720,40.829658,16.551171,Via Giosue Carducci 65/30,345
40.829843,16.552720,40.829942,16.553695,Via Giosue Carducci 1E,200
40.829489,16.552954,40.829625,16.553742,Via Vittorio Veneto 13/20,120
40.829625,16.553742,40.829808,16.553820,Piazza Unita d'Italia 70,30
40.829808,16.553820,40.829942,16.553695,Via Giosue Carducci 1,20
40.829942,16.553695,40.830662,16.553436,Viale Regina Margherita 16/28,240
40.829942,16.553695,40.8304816,16.5535936,Medico Capurso-Via Giuseppe Giusti 16,180
40.830662,16.553436,40.831338,16.553209,Viale Regina Margherita 37,350
40.831338,16.553209,40.832157,16.552962,Viale Regina Margherita 42,100
40.832157,16.552962,40.833416,16.552585,Viale Regina Margherita 49,170
40.832157,16.552962,40.833067,16.552678,Ospedale Viale Regina Margherita 46,110
40.833416,16.552585,40.833067,16.552678,Ospedale Viale Regina Margherita 46,60
40.833416,16.552585,40.8340078,16.5529869,Medico Incampo-Viale Regina Margherita 86,340
40.836057,16.554211,40.834954,16.552066,Via Caduti di Via Fani,300
40.834954,16.552066,40.8340078,16.5529869,Medico Incampo-Viale Regina Margherita 86,70
40.836421,16.554069,40.834785,16.554506,Via IV Novembre 12,410
40.834785,16.554506,40.833750,16.552486,Via Mura Megalitiche,200
40.833750,16.552486,40.833416,16.552585,Viale Regina Margherita 51,75
40.833416,16.552585,40.834445,16.554572,Via La Carrera,230
40.834785,16.554506,40.834445,16.554572,Via IV Novembre 10,90
40.834445,16.554572,40.832720,16.555124,Via IV Novembre 31,340
40.832720,16.555124,40.831886,16.553047,Via Enrico Toti 12/43,376
40.831886,16.553047,40.83210906283977,16.554392344275332,Medico Colasuonno-Via Enrico Toti 29,90
40.832720,16.555124,40.83210906283977,16.554392344275332,Medico Colasuonno-Via Enrico Toti 29,185
40.831886,16.553047,40.833416,16.552585,Viale Regina Margherita 49(2),115
40.831886,16.553047,40.833067,16.552678,Ospedale Viale Regina Margherita 46,130
40.831886,16.553047,40.829942,16.553695,Piazza Unita d'Italia(2),710
40.832720,16.555124,40.831462,16.555871,Via Bari,120
40.831462,16.555871,40.831553,16.555993,Via Bari 59,25
40.831462,16.555871,40.831851,16.556398,Via Bari 79,85
40.831553,16.555993,40.831152,16.556507,Via Garigliano,130
40.831851,16.556398,40.831461,16.556939,Via Sele 19,130
40.831461,16.556939,40.8311494412613,16.557320191105383,Via Sele 36,115
40.8311494412613,16.557320191105383,40.830860,16.557682,Via Sele 42,140
40.830860,16.557682,40.829554,16.554145,Via S.Agostino,935
40.830860,16.557682,40.830320,16.558744,Via Porta Alba 12/56,470
40.830320,16.558744,40.830568,16.559344,Via Tronto 3,160
40.830568,16.559344,40.830949,16.559129,Via Marecchia 21,135
40.830949,16.559129,40.831149,16.559584,Via Sangro,180
40.830568,16.559344,40.83080159765115,16.559243379303773,Medico Farella-Via Marecchia 12,80
40.830949,16.559129,40.83080159765115,16.559243379303773,Medico Farella-Via Marecchia 12,55
40.830949,16.559129,40.831301,16.557875,Via Ofanto 26,210
40.831301,16.557875,40.830860,16.557682,Via Sele 41,170
40.827449,16.553289,40.82952376915377,16.553870576369214,Porta Bari Entrata,375
40.82952376915377,16.553870576369214,40.829942,16.553695,Via Giosue Carducci 19,25
40.825387,16.554628,40.825519,16.555676,Corso Umberto I 69,130
40.825519,16.555676,40.825905,16.556446,Corso Umberto I 142,105
40.825905,16.556446,40.826686,16.556568,Corso Vittorio Emanuele II 146,163
40.826686,16.556568,40.827789,16.555814,Corso Vittorio Emanuele II 96,204
40.827789,16.555814,40.828383,16.555402,Corso Vittorio Emanuele II 34,100
40.828383,16.555402,40.828879,16.554831,Corso Vittorio Emanuele II 18,120
40.828879,16.554831,40.829310,16.554431,Piazza Unita d'Italia 2,76
40.829310,16.554431,40.82952376915377,16.553870576369214,Porta Bari 2,105
40.828705,16.556511,40.828879,16.555959,Via Massimo D'Azeglio 1,56
40.828705,16.556511,40.828607,16.555758,Via Silvio Pellico 20,89
40.828879,16.555959,40.829024,16.555568,Via Santeramo in Colle 16,105
40.829024,16.555568,40.829398,16.554499,Piazza Unita D'Italia 3,170
40.829398,16.554499,40.829808,16.553820,Piazza Unita D'Italia Centro,78
40.829398,16.554499,40.829310,16.554431,Piazza Unita D'Italia 2/2,15
40.828380,16.555397,40.828607,16.555758,Via Massimo D'Azeglio 21,78
40.828879,16.555959,40.828607,16.555758,Via Massimo D'Azeglio 21/2,37
40.828607,16.555758,40.82857434016151,16.556084994593707,Medico Loizzo-Via Massimo D'Azeglio 12,35
40.831462,16.555871,40.829808,16.553820,Piazza Unita d'Italia 68,670